Entity,Code,Day,Delta,Alpha,Eta,Iota,Beta,Epsilon,Gamma,Kappa,non_who,Lambda
Angola,AGO,2021-03-08,0,6.19,0,0,61.06,0,0,0,32.75,0
Angola,AGO,2021-03-22,0,9.17,0.83,0,71.67,0,0,0.83,17.5,0
Angola,AGO,2021-04-05,0,4.95,6.93,0,62.38,0,0.99,3.96,20.79,0
Angola,AGO,2021-04-19,2.44,24.39,2.44,0,37.8,0,0,1.22,31.71,0
Argentina,ARG,2021-03-08,0,13.89,0,0,0,5.56,8.33,0,72.22,0
Argentina,ARG,2021-03-22,0,15,0,1.43,0,2.86,15.71,0,62.14,2.86
Argentina,ARG,2021-04-05,0,22.06,0,1.47,0,2.21,29.41,0,36.03,8.82
Argentina,ARG,2021-04-19,0,12.26,0,0.47,0,2.36,33.02,0,42.93,8.96
Argentina,ARG,2021-05-03,0.43,13.48,0,1.3,0.43,2.17,41.3,0,24.8,16.09
Argentina,ARG,2021-05-17,0,12.86,1.43,0,0,8.57,50,0,10,17.14
Aruba,ABW,2021-03-08,0,52,0,5.6,1.6,12,0,0,28.8,0
Aruba,ABW,2021-03-22,0,66.67,0,7.07,0,14.14,1.01,0,11.11,0
Aruba,ABW,2021-04-05,0,80.43,0,9.78,0,6.52,0,0,3.27,0
Aruba,ABW,2021-04-19,0.76,72.73,0,6.82,1.52,3.79,6.82,0,7.56,0
Aruba,ABW,2021-05-03,1.43,61.43,0,19.29,0,0.71,10,0,6.43,0.71
Aruba,ABW,2021-05-17,0,59.34,0,18.68,0,0,13.19,0,8.79,0
Aruba,ABW,2021-05-31,0,48.6,0,8.41,0,0,23.36,0,19.63,0
Aruba,ABW,2021-06-14,0,5.88,0,14.12,0,0,41.18,0,37.64,1.18
Australia,AUS,2021-03-08,1.49,41.79,1.49,2.99,7.46,1.49,1.49,0,41.8,0
Australia,AUS,2021-03-22,0.93,47.22,0.93,0.93,5.56,0,0.93,1.85,41.65,0
Australia,AUS,2021-04-05,2.59,54.31,1.72,0,7.76,0,1.72,1.72,29.32,0.86
Australia,AUS,2021-04-19,18.71,47.48,1.44,0,13.67,0.72,1.44,11.51,5.03,0
Australia,AUS,2021-05-03,41.85,29.35,0,0.54,3.26,0,1.09,8.7,15.21,0
Australia,AUS,2021-05-17,41.49,41.49,3.19,0,3.19,0,0,3.19,7.45,0
Australia,AUS,2021-05-31,19.12,10.29,1.47,1.47,5.88,0,0,52.94,8.83,0
Australia,AUS,2021-06-14,41.44,17.12,0.9,0,6.31,0,0,28.83,5.4,0
Australia,AUS,2021-06-28,84.65,7.46,0,0,1.32,0,0,3.51,3.06,0
Australia,AUS,2021-07-12,91.32,7.99,0,0,0.69,0,0,0,0,0
Australia,AUS,2021-07-22,98.31,1.69,0,0,0,0,0,0,0,0
Austria,AUT,2021-03-08,0,65.35,0.88,0,11.18,0,0,0,22.59,0
Austria,AUT,2021-03-22,0,84.42,0,0,2.83,0,0,0,12.75,0
Austria,AUT,2021-04-05,0,92.36,0.35,0,1.39,0,0,0,5.9,0
Austria,AUT,2021-04-19,0.57,87.11,0,0.29,3.44,0,0.29,0,8.3,0
Austria,AUT,2021-05-03,0.31,90.28,0.94,0.31,0.63,0,0,0,7.53,0
Austria,AUT,2021-05-17,0.5,87.62,0,0,0.17,0,0.99,0,10.72,0
Austria,AUT,2021-05-31,2.39,82.49,0,0,0.8,0,2.39,0,11.93,0
Austria,AUT,2021-06-14,45.07,47.47,0,0,1.07,0,1.87,0,4.52,0
Austria,AUT,2021-06-28,57.73,39.75,0,0,0.16,0,0.16,0,2.2,0
Bahrain,BHR,2021-04-19,35.71,11.9,0,0,14.29,0,0,19.05,19.05,0
Bahrain,BHR,2021-05-17,49.12,45.61,0,0,0,0,0,0,5.27,0
Bahrain,BHR,2021-05-31,84.44,11.11,0,0,0,0,0,0,4.45,0
Bangladesh,BGD,2021-03-22,0,11.04,4.55,0,68.83,0,0,0,15.58,0
Bangladesh,BGD,2021-04-05,0,19.75,2.47,0,69.14,0,0,0,8.64,0
Bangladesh,BGD,2021-04-19,0,3.94,3.94,0,86.61,0,0,0,5.51,0
Bangladesh,BGD,2021-05-03,18.18,10.91,1.82,0,60,0,0,0,9.09,0
Bangladesh,BGD,2021-05-17,41.07,5.36,0,0,44.64,0,0,0,8.93,0
Bangladesh,BGD,2021-05-31,45.12,1.22,2.44,0,42.68,0,0,0,8.54,0
Bangladesh,BGD,2021-06-14,72.34,6.38,0,0,17.02,0,0,0,4.26,0
Bangladesh,BGD,2021-06-28,89.29,0,1.79,0,1.79,0,0,0,7.13,0
Bangladesh,BGD,2021-07-12,100,0,0,0,0,0,0,0,0,0
Belgium,BEL,2021-03-08,0,60.04,0.67,0,10.64,0,3.59,0,25.06,0
Belgium,BEL,2021-03-22,0,75.01,0.34,0,7.58,0,4.8,0,12.27,0
Belgium,BEL,2021-04-05,0,81.88,0.53,0,3.55,0,6.34,0.15,7.55,0
Belgium,BEL,2021-04-19,0.31,81.75,0.66,0,2.24,0,9.82,0.07,5.15,0
Belgium,BEL,2021-05-03,2.86,80.49,0.24,0,1.88,0,8.26,0.21,6.06,0
Belgium,BEL,2021-05-17,2.93,80.7,0.1,0,2.18,0,10.11,0.1,3.88,0
Belgium,BEL,2021-05-31,5.29,80.76,0.04,0,0.77,0,10.13,0,3.01,0
Belgium,BEL,2021-06-14,12.68,73.81,0,0,0.93,0,10.41,0,2.17,0
Belgium,BEL,2021-06-28,37.16,55.85,0.21,0,0.63,0,4.38,0,1.56,0.21
Belgium,BEL,2021-07-12,72.11,23.16,0,0.08,0.15,0,3.02,0,1.48,0
Belgium,BEL,2021-07-22,79.46,14.59,0,0,0,0,4.86,0,0.01,1.08
Botswana,BWA,2021-03-22,0,0,0,0,98.44,0,0,0,1.56,0
Botswana,BWA,2021-05-31,4.17,0,0,0,93.75,0,0,0,2.08,0
Botswana,BWA,2021-06-14,11.88,0,0,0,72.28,0,0,0,15.84,0
Botswana,BWA,2021-06-28,67.86,0,0,0,22.45,0,0,0,9.69,0
Botswana,BWA,2021-07-12,80.22,0,0,0,10.99,0,0,0,8.79,0
Brazil,BRA,2021-03-08,0,2.56,0,0,0.08,0,76.11,0,21.09,0.16
Brazil,BRA,2021-03-22,0,3.77,0,0,0.15,0,86.74,0,9.34,0
Brazil,BRA,2021-04-05,0,4.44,0,0,0,0,88.68,0,6.88,0
Brazil,BRA,2021-04-19,0,3.35,0,0,0.1,0,92.97,0,3.58,0
Brazil,BRA,2021-05-03,0.29,2.42,0,0,0,0,95.07,0,2.22,0
Brazil,BRA,2021-05-17,0.43,2.43,0,0,0,0,95.2,0,1.94,0
Brazil,BRA,2021-05-31,0.15,2.25,0,0,0,0,96.15,0,1.45,0
Brazil,BRA,2021-06-14,0.1,0.83,0,0,0,0,96.46,0,2.4,0.21
Brazil,BRA,2021-06-28,4.55,0.3,0,0,0,0,91.21,0,3.64,0.3
Brazil,BRA,2021-07-12,93.55,0,0,0,0,0,4.84,0,1.61,0
Bulgaria,BGR,2021-03-08,0,93.37,0,0,0,0,0,0,6.63,0
Bulgaria,BGR,2021-03-22,0,98.89,0,0,0,0,0,0,1.11,0
Bulgaria,BGR,2021-04-05,0,99.1,0,0,0,0,0,0,0.9,0
Bulgaria,BGR,2021-04-19,0.27,99.73,0,0,0,0,0,0,0,0
Bulgaria,BGR,2021-05-03,0,100,0,0,0,0,0,0,0,0
Bulgaria,BGR,2021-05-17,0,100,0,0,0,0,0,0,0,0
Bulgaria,BGR,2021-05-31,0,100,0,0,0,0,0,0,0,0
Bulgaria,BGR,2021-06-14,6.8,89.32,0,0,0.97,0,0,0,2.91,0
Bulgaria,BGR,2021-06-28,42.86,54.62,0,0,0.84,0,0,0,1.68,0
Cambodia,KHM,2021-04-19,0,92.31,0,0,0,0,0,0,7.69,0
Cambodia,KHM,2021-05-03,0,100,0,0,0,0,0,0,0,0
Cambodia,KHM,2021-05-17,0,100,0,0,0,0,0,0,0,0
Cambodia,KHM,2021-05-31,4.55,89.39,0,0,0,0,0,0,6.06,0
Cambodia,KHM,2021-06-14,16.9,74.65,0,0,1.41,0,0,0,7.04,0
Cambodia,KHM,2021-06-28,28.95,71.05,0,0,0,0,0,0,0,0
Canada,CAN,2021-03-08,0,32.33,4.75,0,0.85,0.91,1.22,0,59.91,0.03
Canada,CAN,2021-03-22,0.02,45.31,2.22,0.02,0.39,1.28,8.09,0.79,41.86,0.02
Canada,CAN,2021-04-05,0.03,42.08,7.17,0,0.38,0.25,24.59,0.48,24.96,0.06
Canada,CAN,2021-04-19,0.94,42.53,5.51,0.02,1.18,0.9,24.88,1.9,22.08,0.06
Canada,CAN,2021-05-03,2.09,54.15,1.79,0.28,0.97,1.09,22.01,0.32,17.28,0.02
Canada,CAN,2021-05-17,5.37,54.73,3.46,0.86,0.32,0.5,21.11,0.18,13.33,0.14
